WARN  2015-03-09 22:20:05,355 [1    ] EntityFramework.AbpEntityFrameworkModule - No class found derived from AbpDbContext.
DEBUG 2015-03-09 22:20:05,601 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IConsignorPmtAppService' with service name 'pcdWebApi/consignorPmt'.
DEBUG 2015-03-09 22:20:05,605 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IItemSaleTransactionAppService' with service name 'pcdWebApi/itemSaleTransaction'.
DEBUG 2015-03-09 22:20:05,610 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IPcdWebUserAppService' with service name 'pcdWebApi/pcdWebUser'.
DEBUG 2015-03-09 22:20:05,615 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IPersonAppService' with service name 'pcdWebApi/person'.
DEBUG 2015-03-09 22:20:05,618 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IStoreCreditTransactionAppService' with service name 'pcdWebApi/storeCreditTransaction'.
DEBUG 2015-03-09 22:20:05,621 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IVideoAppService' with service name 'pcdWebApi/video'.
DEBUG 2015-03-09 22:20:05,624 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IItemAppService' with service name 'pcdWebApi/item'.
DEBUG 2015-03-09 22:20:05,628 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IBookAppService' with service name 'pcdWebApi/book'.
DEBUG 2015-03-09 22:26:12,449 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
DEBUG 2015-03-09 22:26:15,213 [1    ] Abp.Modules.AbpModuleManager             - Found 12 ABP modules in total.
DEBUG 2015-03-09 22:26:15,220 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Startup.Application.AbpApplicationModule, Abp.Application, Version=0.1.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,222 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AutoMapper.AbpAutoMapperModule, Abp.AutoMapper, Version=0.5.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,222 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AbpKernelModule, Abp, Version=0.5.2.1, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,222 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFramework.AbpEntityFrameworkModule, Abp.EntityFramework, Version=0.5.2.1, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,222 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.WebApi.AbpWebApiModule, Abp.Web.Api, Version=0.5.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,222 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.AbpWebModule, Abp.Web, Version=0.5.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,222 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.Mvc.AbpWebMvcModule, Abp.Web.Mvc, Version=0.5.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,222 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: DataModel.Data.ApplicationLayer.Services.PcdApplicationModule, DataModel.Data, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,223 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: DataModel.Data.DataLayer.PcdWebDataModule, DataModel.Data, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,223 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: PcdWeb.PcdWebCoreModule, PcdWeb.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,223 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: PcdWeb.Web.PcdWebWebModule, PcdWeb.Web, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,223 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: PcdWeb.PcdWebWebApiModule, PcdWeb.WebApi, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:26:15,238 [1    ] Abp.Modules.AbpModuleManager             - 12 modules loaded.
DEBUG 2015-03-09 22:26:17,403 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Found 0 classes defines auto mapping attributes
WARN  2015-03-09 22:26:19,561 [1    ] EntityFramework.AbpEntityFrameworkModule - No class found derived from AbpDbContext.
DEBUG 2015-03-09 22:26:19,596 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IConsignorPmtAppService' with service name 'pcdWebApi/consignorPmt'.
DEBUG 2015-03-09 22:26:19,599 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IItemSaleTransactionAppService' with service name 'pcdWebApi/itemSaleTransaction'.
DEBUG 2015-03-09 22:26:19,604 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IPcdWebUserAppService' with service name 'pcdWebApi/pcdWebUser'.
DEBUG 2015-03-09 22:26:19,606 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IPersonAppService' with service name 'pcdWebApi/person'.
DEBUG 2015-03-09 22:26:19,608 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IStoreCreditTransactionAppService' with service name 'pcdWebApi/storeCreditTransaction'.
DEBUG 2015-03-09 22:26:19,610 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IVideoAppService' with service name 'pcdWebApi/video'.
DEBUG 2015-03-09 22:26:19,612 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IItemAppService' with service name 'pcdWebApi/item'.
DEBUG 2015-03-09 22:26:19,615 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IBookAppService' with service name 'pcdWebApi/book'.
DEBUG 2015-03-09 22:28:03,124 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
DEBUG 2015-03-09 22:28:06,505 [1    ] Abp.Modules.AbpModuleManager             - Found 12 ABP modules in total.
DEBUG 2015-03-09 22:28:06,509 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Startup.Application.AbpApplicationModule, Abp.Application, Version=0.1.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,513 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AutoMapper.AbpAutoMapperModule, Abp.AutoMapper, Version=0.5.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,513 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AbpKernelModule, Abp, Version=0.5.2.1, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,513 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFramework.AbpEntityFrameworkModule, Abp.EntityFramework, Version=0.5.2.1, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,513 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.WebApi.AbpWebApiModule, Abp.Web.Api, Version=0.5.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,514 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.AbpWebModule, Abp.Web, Version=0.5.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,514 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.Mvc.AbpWebMvcModule, Abp.Web.Mvc, Version=0.5.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,514 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: DataModel.Data.ApplicationLayer.Services.PcdApplicationModule, DataModel.Data, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,514 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: DataModel.Data.DataLayer.PcdWebDataModule, DataModel.Data, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,514 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: PcdWeb.PcdWebCoreModule, PcdWeb.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,514 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: PcdWeb.Web.PcdWebWebModule, PcdWeb.Web, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,514 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: PcdWeb.PcdWebWebApiModule, PcdWeb.WebApi, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2015-03-09 22:28:06,531 [1    ] Abp.Modules.AbpModuleManager             - 12 modules loaded.
DEBUG 2015-03-09 22:28:08,800 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Found 0 classes defines auto mapping attributes
WARN  2015-03-09 22:28:10,918 [1    ] EntityFramework.AbpEntityFrameworkModule - No class found derived from AbpDbContext.
DEBUG 2015-03-09 22:28:10,954 [1    ] Default                                  - Dynamic web api controller is created for type 'DataModel.Data.ApplicationLayer.Services.IConsignorPmtAppService' with service name 'pcdWebApi/consignorPmt'.
